JDAY,  ELTM,NH4NITR (kg/d),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),NH3GAS  (kg/d),NO3DEN  (kg/d),NO3AG   (kg/d),NO3EG   (kg/d),NO3SED  (kg/d),DOREAR  (kg/d),DOSED   (kg/d), CO2GASX(kg/d),
    64.500,   0.000,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,
   124.500,  60.000,  0.2236E+04,  0.1025E+03,  0.1647E+03, -0.6219E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1368E+03,  0.1571E+04,  0.1708E+04,  0.0000E+00,  0.4165E+01,  0.1700E+01,  0.4149E+01,  0.3423E+03,  0.0000E+00,  0.0000E+00,  0.2620E+05,  0.0000E+00, -0.6019E+05,
   184.500,  60.000,  0.2370E+04,  0.3540E+03,  0.3838E+03, -0.2977E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4633E+03,  0.1322E+04,  0.1785E+04,  0.0000E+00,  0.1692E+03,  0.1232E+02,  0.1161E+03,  0.1052E+04,  0.0000E+00,  0.0000E+00,  0.2488E+05,  0.0000E+00, -0.1120E+05,
   244.500,  60.000,  0.1647E+04,  0.3445E+03,  0.2200E+03,  0.1245E+03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4284E+03,  0.6104E+03,  0.1039E+04,  0.0000E+00,  0.1011E+04,  0.2668E+02,  0.6646E+03,  0.1085E+04,  0.0000E+00,  0.0000E+00,  0.3393E+05,  0.0000E+00, -0.5965E+04,
   304.500,  60.000,  0.2567E+04,  0.6214E+03,  0.5555E+03,  0.6583E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.7281E+03,  0.9585E+03,  0.1687E+04,  0.0000E+00,  0.1173E+04,  0.1338E+02,  0.7889E+03,  0.2078E+04,  0.0000E+00,  0.0000E+00,  0.6255E+05,  0.0000E+00, -0.7931E+04,
