JDAY,WB,TP-Waterbody(kg),TP-Sediment(kg),TP-Plants(kg),OutflowTP(kg),TributaryTP(kg),DistributedTributaryTP(kg),WithdrawalTP(kg),PrecipitationTP(kg),InflowTP(kg),AtmosphericDepositionP(kg),SED+SOD_PRelease(kg),PFluxtoSediments(kg),TN-Waterbody(kg),TN-Sediment(kg),TN-Plants(kg),OutflowTN(kg),TributaryTN(kg),DistributedTributaryTN(kg),WithdrawalTN(kg),PrecipitationTN(kg),InflowTN(kg),AtmosphericDepositionN(kg),NH3GasLoss(kg),SED+SOD_NRelease(kg),NFluxtoSediments(kg
   141.500,   1,  0.21504653E+05,   0.00000000E+00,   0.00000000E+00,   0.65922425E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.23403397E+04,   0.19759156E+03,   0.80886025E+03,   0.00000000E+00,   0.62206028E+06,   0.00000000E+00,   0.00000000E+00,   0.62426030E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.35247085E+05,   0.18659758E+02,   0.00000000E+00,   0.80886025E+04,   0.00000000E+00,
   148.500,   1,  0.21671575E+05,   0.00000000E+00,   0.00000000E+00,   0.71424987E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.26208514E+04,   0.21515565E+03,   0.17825855E+04,   0.00000000E+00,   0.63345860E+06,   0.00000000E+00,   0.00000000E+00,   0.69943975E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.39920841E+05,   0.20234103E+02,   0.00000000E+00,   0.17825855E+05,   0.00000000E+00,
   155.500,   1,  0.21386577E+05,   0.00000000E+00,   0.00000000E+00,   0.77271380E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.26843213E+04,   0.23261900E+03,   0.26588042E+04,   0.00000000E+00,   0.62961402E+06,   0.00000000E+00,   0.00000000E+00,   0.78014464E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.42133416E+05,   0.21803381E+02,   0.00000000E+00,   0.26588042E+05,   0.00000000E+00,
   162.500,   1,  0.21165422E+05,   0.00000000E+00,   0.00000000E+00,   0.82838795E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.27036876E+04,   0.24998357E+03,   0.60357497E+04,   0.00000000E+00,   0.62116449E+06,   0.00000000E+00,   0.00000000E+00,   0.85637357E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.43090178E+05,   0.23367766E+02,   0.00000000E+00,   0.60357497E+05,   0.00000000E+00,
   169.500,   1,  0.21346483E+05,   0.00000000E+00,   0.00000000E+00,   0.83260666E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.27401911E+04,   0.26724843E+03,   0.96570387E+04,   0.00000000E+00,   0.62360075E+06,   0.00000000E+00,   0.00000000E+00,   0.86157891E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.43611464E+05,   0.24927176E+02,   0.00000000E+00,   0.96570387E+05,   0.00000000E+00,
   176.500,   1,  0.21757060E+05,   0.00000000E+00,   0.00000000E+00,   0.83803859E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.28044689E+04,   0.28441408E+03,   0.14309861E+05,   0.00000000E+00,   0.62851410E+06,   0.00000000E+00,   0.00000000E+00,   0.86811924E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.44132183E+05,   0.26481655E+02,   0.00000000E+00,   0.14309861E+06,   0.00000000E+00,
   183.500,   1,  0.21908360E+05,   0.00000000E+00,   0.00000000E+00,   0.85918501E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.28810688E+04,   0.30147762E+03,   0.20386433E+05,   0.00000000E+00,   0.62747638E+06,   0.00000000E+00,   0.00000000E+00,   0.89401345E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.44519272E+05,   0.28030941E+02,   0.00000000E+00,   0.20386433E+06,   0.00000000E+00,
   190.500,   1,  0.22109533E+05,   0.00000000E+00,   0.00000000E+00,   0.88517372E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.29628484E+04,   0.31844202E+03,   0.28587695E+05,   0.00000000E+00,   0.62535667E+06,   0.00000000E+00,   0.00000000E+00,   0.92396066E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.44795689E+05,   0.29575304E+02,   0.00000000E+00,   0.28579679E+06,   0.00000000E+00,
   197.500,   1,  0.22174053E+05,   0.00000000E+00,   0.00000000E+00,   0.94991344E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.30153058E+04,   0.33530758E+03,   0.39018847E+05,   0.00000000E+00,   0.61677566E+06,   0.00000000E+00,   0.00000000E+00,   0.99549842E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.45071288E+05,   0.31114771E+02,   0.00000000E+00,   0.39010831E+06,   0.00000000E+00,
   204.500,   1,  0.22423183E+05,   0.00000000E+00,   0.00000000E+00,   0.96339738E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.30402557E+04,   0.35207519E+03,   0.49336536E+05,   0.00000000E+00,   0.61766890E+06,   0.00000000E+00,   0.00000000E+00,   0.10096706E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.45283865E+05,   0.32649424E+02,   0.00000000E+00,   0.49328520E+06,   0.00000000E+00,
