JDAY,WB,TP-Waterbody(kg),TP-Sediment(kg),TP-Plants(kg),OutflowTP(kg),TributaryTP(kg),DistributedTributaryTP(kg),WithdrawalTP(kg),PrecipitationTP(kg),InflowTP(kg),AtmosphericDepositionP(kg),SED+SOD_PRelease(kg),PFluxtoSediments(kg),TN-Waterbody(kg),TN-Sediment(kg),TN-Plants(kg),OutflowTN(kg),TributaryTN(kg),DistributedTributaryTN(kg),WithdrawalTN(kg),PrecipitationTN(kg),InflowTN(kg),AtmosphericDepositionN(kg),NH3GasLoss(kg),SED+SOD_NRelease(kg),NFluxtoSediments(kg
   141.500,   1,  0.21510174E+05,   0.00000000E+00,   0.00000000E+00,   0.65940819E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.23403426E+04,   0.19759137E+03,   0.81385932E+03,   0.00000000E+00,   0.62192781E+06,   0.00000000E+00,   0.00000000E+00,   0.62404944E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.35247237E+05,   0.18659745E+02,   0.39591174E+04,   0.81339274E+04,   0.00000000E+00,
   148.500,   1,  0.21670444E+05,   0.00000000E+00,   0.00000000E+00,   0.71437194E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.26208576E+04,   0.21515550E+03,   0.17425597E+04,   0.00000000E+00,   0.63333135E+06,   0.00000000E+00,   0.00000000E+00,   0.69908404E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.39921036E+05,   0.20234095E+02,   0.47010974E+04,   0.17420931E+05,   0.00000000E+00,
   155.500,   1,  0.21382966E+05,   0.00000000E+00,   0.00000000E+00,   0.77283329E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.26843283E+04,   0.23261908E+03,   0.25675984E+04,   0.00000000E+00,   0.62946142E+06,   0.00000000E+00,   0.00000000E+00,   0.77959702E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.42133634E+05,   0.21803393E+02,   0.65794374E+04,   0.25671318E+05,   0.00000000E+00,
   162.500,   1,  0.21159602E+05,   0.00000000E+00,   0.00000000E+00,   0.82849468E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.27036948E+04,   0.24998365E+03,   0.58710918E+04,   0.00000000E+00,   0.62092438E+06,   0.00000000E+00,   0.00000000E+00,   0.85566628E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.43090393E+05,   0.23367778E+02,   0.91616508E+04,   0.58706252E+05,   0.00000000E+00,
   169.500,   1,  0.21337183E+05,   0.00000000E+00,   0.00000000E+00,   0.83271691E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.27401981E+04,   0.26724843E+03,   0.93615399E+04,   0.00000000E+00,   0.62322455E+06,   0.00000000E+00,   0.00000000E+00,   0.86086319E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.43611676E+05,   0.24927180E+02,   0.11611823E+05,   0.93610733E+05,   0.00000000E+00,
   176.500,   1,  0.21744467E+05,   0.00000000E+00,   0.00000000E+00,   0.83815609E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.28044759E+04,   0.28441409E+03,   0.13872355E+05,   0.00000000E+00,   0.62803788E+06,   0.00000000E+00,   0.00000000E+00,   0.86739303E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.44132395E+05,   0.26481661E+02,   0.13260978E+05,   0.13871889E+06,   0.00000000E+00,
   183.500,   1,  0.21897887E+05,   0.00000000E+00,   0.00000000E+00,   0.85933452E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.28810757E+04,   0.30147761E+03,   0.19912545E+05,   0.00000000E+00,   0.62685821E+06,   0.00000000E+00,   0.00000000E+00,   0.89324060E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.44519484E+05,   0.28030946E+02,   0.16252539E+05,   0.19912078E+06,   0.00000000E+00,
   190.500,   1,  0.22120345E+05,   0.00000000E+00,   0.00000000E+00,   0.88540534E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.29628553E+04,   0.31844202E+03,   0.28005751E+05,   0.00000000E+00,   0.62490928E+06,   0.00000000E+00,   0.00000000E+00,   0.92314156E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.44795901E+05,   0.29575309E+02,   0.20403139E+05,   0.28005285E+06,   0.00000000E+00,
   197.500,   1,  0.22198061E+05,   0.00000000E+00,   0.00000000E+00,   0.95032789E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.30153128E+04,   0.33530758E+03,   0.38575253E+05,   0.00000000E+00,   0.61614500E+06,   0.00000000E+00,   0.00000000E+00,   0.99457529E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.45071500E+05,   0.31114776E+02,   0.25111244E+05,   0.38574786E+06,   0.00000000E+00,
   204.500,   1,  0.22509136E+05,   0.00000000E+00,   0.00000000E+00,   0.96384105E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.30402626E+04,   0.35207519E+03,   0.49959712E+05,   0.00000000E+00,   0.61691100E+06,   0.00000000E+00,   0.00000000E+00,   0.10087230E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.45284077E+05,   0.32649430E+02,   0.29731663E+05,   0.49959246E+06,   0.00000000E+00,
   211.500,   1,  0.23040981E+05,   0.00000000E+00,   0.00000000E+00,   0.97633030E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.31434973E+04,   0.36874086E+03,   0.60769021E+05,   0.00000000E+00,   0.62158032E+06,   0.00000000E+00,   0.00000000E+00,   0.10209664E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.45640861E+05,   0.34178903E+02,   0.32679580E+05,   0.60768554E+06,   0.00000000E+00,
   218.500,   1,  0.23564400E+05,   0.00000000E+00,   0.00000000E+00,   0.99420523E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.32627215E+04,   0.38530691E+03,   0.73756501E+05,   0.00000000E+00,   0.62365145E+06,   0.00000000E+00,   0.00000000E+00,   0.10382908E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.45956311E+05,   0.35703411E+02,   0.37106870E+05,   0.73756034E+06,   0.00000000E+00,
   225.500,   1,  0.23861164E+05,   0.00000000E+00,   0.00000000E+00,   0.10253576E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.33310716E+04,   0.40177249E+03,   0.87734945E+05,   0.00000000E+00,   0.62190956E+06,   0.00000000E+00,   0.00000000E+00,   0.10663584E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.46208817E+05,   0.37222874E+02,   0.40565245E+05,   0.87734478E+06,   0.00000000E+00,
   232.500,   1,  0.24441845E+05,   0.00000000E+00,   0.00000000E+00,   0.10604930E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.33669119E+04,   0.41806371E+03,   0.10554385E+06,   0.00000000E+00,   0.62060248E+06,   0.00000000E+00,   0.00000000E+00,   0.10970933E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.46486080E+05,   0.38730445E+02,   0.44364450E+05,   0.10554338E+07,   0.00000000E+00,
